fipdate,exposed_aw,exposed_po,exposed_wd,date,fips
60172018-07-17,1,0,0,2018-07-17,6017
60172018-07-18,1,0,0,2018-07-18,6017
60172018-07-19,1,0,0,2018-07-19,6017
60172018-07-20,1,0,0,2018-07-20,6017
60172018-07-24,1,0,0,2018-07-24,6017
60172018-07-25,1,0,0,2018-07-25,6017
60172018-07-26,1,0,0,2018-07-26,6017
60172018-07-27,1,0,0,2018-07-27,6017
60172018-07-28,1,0,0,2018-07-28,6017
60172018-07-29,1,0,0,2018-07-29,6017
60172018-07-30,1,0,0,2018-07-30,6017
60172018-07-31,1,0,0,2018-07-31,6017
60172018-08-01,1,0,0,2018-08-01,6017
60172018-08-02,1,0,0,2018-08-02,6017
60172018-08-10,1,0,0,2018-08-10,6017
60172018-08-11,1,0,0,2018-08-11,6017
60172018-08-12,1,0,0,2018-08-12,6017
60172018-10-15,0,1,0,2018-10-15,6017
60172018-10-16,0,1,0,2018-10-16,6017
60172018-10-17,0,1,0,2018-10-17,6017
60172019-01-17,0,1,0,2019-01-17,6017
60172019-01-18,0,1,0,2019-01-18,6017
60172019-01-30,0,1,0,2019-01-30,6017
60172019-01-31,0,1,0,2019-01-31,6017
60172019-02-05,0,1,0,2019-02-05,6017
60172019-02-06,0,1,0,2019-02-06,6017
60172019-02-07,0,1,0,2019-02-07,6017
60172019-02-08,0,1,0,2019-02-08,6017
60172019-02-09,0,1,0,2019-02-09,6017
60172019-02-10,0,1,0,2019-02-10,6017
60172019-02-11,0,1,0,2019-02-11,6017
60172019-02-12,0,1,0,2019-02-12,6017
60172019-02-13,0,1,0,2019-02-13,6017
60172019-02-14,0,1,0,2019-02-14,6017
60172019-02-15,0,1,0,2019-02-15,6017
60172019-02-16,0,1,0,2019-02-16,6017
60172019-02-17,0,1,0,2019-02-17,6017
60172019-02-18,0,1,0,2019-02-18,6017
60172019-02-19,0,1,0,2019-02-19,6017
60172019-02-20,0,1,0,2019-02-20,6017
60172019-02-21,0,1,0,2019-02-21,6017
60172019-07-25,1,0,0,2019-07-25,6017
60172019-07-26,1,0,0,2019-07-26,6017
60172019-07-28,1,0,0,2019-07-28,6017
60172019-07-29,1,0,0,2019-07-29,6017
60172019-08-16,1,0,0,2019-08-16,6017
60172019-08-17,1,0,0,2019-08-17,6017
60172019-08-27,1,0,0,2019-08-27,6017
60172019-08-28,1,0,0,2019-08-28,6017
60172019-10-09,0,1,0,2019-10-09,6017
60172019-10-11,0,1,0,2019-10-11,6017
60172019-10-12,0,1,0,2019-10-12,6017
60172019-10-24,0,1,0,2019-10-24,6017
60172019-10-25,0,1,0,2019-10-25,6017
60172019-10-27,0,1,0,2019-10-27,6017
60172019-10-28,0,1,0,2019-10-28,6017
60172019-10-29,0,1,0,2019-10-29,6017
60172019-10-30,0,1,0,2019-10-30,6017
60172019-10-31,0,1,0,2019-10-31,6017
60172019-11-27,0,1,0,2019-11-27,6017
60172019-11-28,0,1,0,2019-11-28,6017
60172019-11-29,0,1,0,2019-11-29,6017
60172019-12-22,0,1,0,2019-12-22,6017
60172019-12-23,0,1,0,2019-12-23,6017
60192018-07-02,1,0,0,2018-07-02,6019
60192018-07-07,1,0,0,2018-07-07,6019
60192018-07-08,1,0,0,2018-07-08,6019
60192018-07-09,1,0,0,2018-07-09,6019
60192018-07-12,1,0,0,2018-07-12,6019
60192018-07-13,1,0,0,2018-07-13,6019
60192018-07-14,1,0,0,2018-07-14,6019
60192018-07-15,1,0,0,2018-07-15,6019
60192018-07-16,1,0,0,2018-07-16,6019
60192018-07-17,1,0,0,2018-07-17,6019
60192018-07-18,1,0,0,2018-07-18,6019
60192018-07-19,1,0,0,2018-07-19,6019
60192018-07-20,1,0,0,2018-07-20,6019
60192018-07-21,1,0,0,2018-07-21,6019
60192018-07-23,1,0,0,2018-07-23,6019
60192018-07-24,1,0,0,2018-07-24,6019
60192018-07-25,1,0,0,2018-07-25,6019
60192018-07-26,1,0,0,2018-07-26,6019
60192018-07-27,1,0,0,2018-07-27,6019
60192018-07-28,1,0,0,2018-07-28,6019
60192018-07-29,1,0,0,2018-07-29,6019
60192018-07-30,1,0,0,2018-07-30,6019
60192018-07-31,1,0,0,2018-07-31,6019
60192018-08-01,1,0,0,2018-08-01,6019
60192018-08-02,1,0,0,2018-08-02,6019
60192018-08-10,1,0,0,2018-08-10,6019
60192018-08-11,1,0,0,2018-08-11,6019
60192018-08-18,1,0,0,2018-08-18,6019
60192018-08-19,1,0,0,2018-08-19,6019
60192018-08-20,1,0,0,2018-08-20,6019
60192019-06-12,1,0,0,2019-06-12,6019
60192019-06-13,1,0,0,2019-06-13,6019
60192019-07-23,1,0,0,2019-07-23,6019
60192019-07-24,1,0,0,2019-07-24,6019
60192019-07-25,1,0,0,2019-07-25,6019
60192019-07-26,1,0,0,2019-07-26,6019
60192019-07-27,1,0,0,2019-07-27,6019
60192019-07-28,1,0,0,2019-07-28,6019
60192019-07-29,1,0,0,2019-07-29,6019
60192019-08-07,1,0,0,2019-08-07,6019
60192019-08-15,1,0,0,2019-08-15,6019
60192019-08-16,1,0,0,2019-08-16,6019
60192019-08-17,1,0,0,2019-08-17,6019
60192019-08-24,1,0,0,2019-08-24,6019
60192019-08-25,1,0,0,2019-08-25,6019
60192019-08-26,1,0,0,2019-08-26,6019
60192019-08-27,1,0,0,2019-08-27,6019
60192019-08-28,1,0,0,2019-08-28,6019
60192019-08-29,1,0,0,2019-08-29,6019
60192019-09-03,1,0,0,2019-09-03,6019
60192019-09-04,1,0,0,2019-09-04,6019
60192019-09-05,1,0,0,2019-09-05,6019
60212018-03-01,0,1,0,2018-03-01,6021
60212018-05-29,1,0,0,2018-05-29,6021
60212018-05-30,1,0,0,2018-05-30,6021
60212018-06-03,1,0,0,2018-06-03,6021
60212018-06-04,1,0,0,2018-06-04,6021
60212018-06-13,1,0,0,2018-06-13,6021
60212018-06-14,1,0,0,2018-06-14,6021
60212018-06-23,1,0,0,2018-06-23,6021
60212018-06-24,1,0,0,2018-06-24,6021
60212018-06-25,1,0,0,2018-06-25,6021
60212018-07-01,1,0,0,2018-07-01,6021
60212018-07-02,1,0,0,2018-07-02,6021
60212018-07-13,1,0,0,2018-07-13,6021
60212018-07-15,1,0,0,2018-07-15,6021
